name,style,viewBox,declared,est,est_n,est_ratio,scale_source,method,candidates,tag_is_top,top_margin,best_area_sf,mean_width_ft,stage,error,identify_ms,regions,stalls,aprons,drive_width,drive_length,throat_width,curb_radius
b61e2a71_option_1.svg,class,1920x1080,,0.9912,120,0.458,estimated,tagged,210,false,1.44,43423,30.2,done,,74,APRON3+DRIVE4+LOT2,0,4,30,324.3,30,30
b61e2a71_option_2.svg,class,1920x1080,,0.9912,140,0.458,estimated,tagged,231,false,1.48,42703,30.2,done,,71,APRON3+DRIVE6+LOT2,0,4,30,314.8,30,30
b61e2a71_option_3.svg,class,1920x1080,,1.1894,128,0.501,estimated,tagged,184,false,1.42,35165,27.7,done,,72,APRON2+DRIVE2+LOT1,0,2,26.9,46.6,25,25
b61e2a71_option_4.svg,class,1920x1080,,1.1539,158,0.471,estimated,tagged,156,false,1.06,45861,27.6,done,,127,APRON3+LOT3+STALL10,19,4,,,26.7,25.8
b7ccbee5_option_1.svg,class,1920x1080,,3.7725,134,0.495,estimated,tagged,1138,false,1.48,23351,26.8,done,,59,,0,0,,,,
b7ccbee5_option_10.svg,class,1920x1080,,1.952,64,0.5,estimated,tagged,1183,false,1.48,19553,54.9,done,,24,STALL3,4,0,,,,
b7ccbee5_option_2.svg,class,1920x1080,,3.7702,101,0.494,estimated,tagged,1139,false,1.48,29012,26.1,done,,45,,0,0,,,,
b7ccbee5_option_3.svg,class,1920x1080,,3.7697,138,0.494,estimated,tagged,1140,false,1.48,28598,23.2,identify,found non-noded intersection between LINESTRING ( 328.7394061205459 17,,,,,,,,
b7ccbee5_option_4.svg,class,1920x1080,,3.9024,62,0.5,estimated,tagged,1130,false,1.48,20222,38.5,done,,26,APRON1+STALL2,3,1,,,20.2,10
b7ccbee5_option_5.svg,class,1920x1080,,2.074,94,0.486,estimated,tagged,1147,false,1.48,20994,54.1,done,,11,APRON1+DRIVE1,0,1,126.7,92.7,34,15.8
